,index,Epl.,Kap.,Tit.,Ist 2012,Zweckbestimmung,2012 id,id_nlp_help,id_nlp,2012 Zweck,id
3,3078,11,13,63681,31569892728.34,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811113,63681111331569893,sechsdreisechsachteinseinseinseinsdreidreieinsfünfsechsneunachtneundrei  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
6,5252,32,1,32511,22480025916.06,Einnahmen aus Krediten vom Kreditmarkt,325113201,32511320122480026,dreizweifünfeinseinsdreizweinulleinszweizweivierachtnullnullzweisechs  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
7,3080,11,13,63683,20122812740.85,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831113,63683111320122813,sechsdreisechsachtdreieinseinseinsdreizweinulleinszweizweiachteinsdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
8,3058,11,12,68112,18951335517.59,Arbeitslosengeld II,681121112,68112111218951336,sechsachteinseinszweieinseinseinszweieinsachtneunfünfeinsdreidreisechs  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
11,4267,15,2,63606,14000000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamt gesellschaftliche Aufgaben (Gesundheitsfonds),636061502,63606150214000000,sechsdreisechsnullsechseinsfünfnullzweieinsviernullnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamt gesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
12,3081,11,13,63684,11627512966.78,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841113,63684111311627513,sechsdreisechsachtviereinseinseinsdreieinseinssechszweisiebenfünfeinsdrei  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
16,5339,60,2,83624,8686848000.0,Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),836246002,8362460028686848,achtdreisechszweiviersechsnullnullzweiachtsechsachtsechsachtvieracht  Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),,
19,3079,11,13,63682,8323486863.09,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821113,6368211138323487,sechsdreisechsachtzweieinseinseinsdreiachtdreizweidreivierachtsieben  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
20,3061,11,12,63631,7238000000.0,Beteiligung des Bundes an den Kosten der Arbeitsförderung,636311112,6363111127238000,sechsdreisechsdreieinseinseinseinszweisiebenzweidreiachtnullnullnull  Beteiligung des Bundes an den Kosten der Arbeitsförderung,,
24,3076,11,13,63626,5546282741.76,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636261113,6362611135546283,sechsdreisechszweisechseinseinseinsdreifünffünfviersechszweiachtdrei  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
25,5259,32,5,57503,5273368643.89,Zinsen für Bundesobligationen,575033205,5750332055273369,fünfsiebenfünfnulldreidreizweinullfünffünfzweisiebendreidreisechsneun  Zinsen für Bundesobligationen,Zinsen für Bundesobligationen,575033205.0
26,3737,12,22,63401,5104600000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011222,6340112225104600,sechsdreiviernulleinseinszweizweizweifünfeinsnullviersechsnullnull  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216.0
27,3056,11,12,63211,4838413882.83,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111112,6321111124838414,sechsdreizweieinseinseinseinseinszweivierachtdreiachtviereinsvier  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
28,4906,17,10,68102,4824748879.88,Elterngeld,681021710,6810217104824749,sechsachteinsnullzweieinssiebeneinsnullvierachtzweiviersiebenvierneun  Elterngeld,Elterngeld,681021701.0
29,3369,12,9,11102,4362146966.51,Einnahmen aus der streckenbezogenen LKW-Maut,111021209,1110212094362147,einseinseinsnullzweieinszweinullneunvierdreisechszweieinsviersieben  Einnahmen aus der streckenbezogenen LKW-Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
30,3057,11,12,63613,4209092656.72,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131112,6361311124209093,sechsdreisechseinsdreieinseinseinszweivierzweinullneunnullneundrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
31,3052,11,12,21602,3822052271.98,Eingliederungsbeitrag der Bundesagentur für Arbeit,216021112,2160211123822052,zweieinssechsnullzweieinseinseinszweidreiachtzweizweinullfünfzwei  Eingliederungsbeitrag der Bundesagentur für Arbeit,,
32,3060,11,12,68511,3751175344.57,Leistungen zur Eingliederung in Arbeit,685111112,6851111123751175,sechsachtfünfeinseinseinseinseinszweidreisiebenfünfeinseinssiebenfünf  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,685111101.0
34,5307,60,2,13301,3529815476.92,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,133016002,1330160023529815,einsdreidreinulleinssechsnullnullzweidreifünfzweineunachteinsfünf  Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,133016002.0
