,index,Epl.,Kap.,Tit.,Ist 2014,Zweckbestimmung,2014 id,id_nlp_help,id_nlp,2014 Zweck,id
3,2362,11,2,63681,31138301647.62,Zuschuss des Bundes an die allgemeine Rentenversicherung ,636811102,63681110231138302,sechsdreisechsachteinseinseinsnullzweidreieinseinsdreiachtdreinullzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung ,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
6,2364,11,2,63683,21522277428.39,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung ,636831102,63683110221522277,sechsdreisechsachtdreieinseinsnullzweizweieinsfünfzweizweizweisiebensieben  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung ,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
7,2349,11,1,68112,19725465106.98,Arbeitslosengeld II ,681121101,68112110119725465,sechsachteinseinszweieinseinsnulleinseinsneunsiebenzweifünfviersechsfünf  Arbeitslosengeld II ,Arbeitslosengeld II,681121101.0
11,2365,11,2,63684,11857613234.99,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung ,636841102,63684110211857613,sechsdreisechsachtviereinseinsnullzweieinseinsachtfünfsiebensechseinsdrei  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung ,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
12,3723,15,2,63606,10500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds) ,636061502,63606150210500000,sechsdreisechsnullsechseinsfünfnullzweieinsnullfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds) ,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
16,2363,11,2,63682,8693036000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet ,636821102,6368211028693036,sechsdreisechsachtzweieinseinsnullzweiachtsechsneundreinulldreisechs  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet ,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
21,4291,17,1,68102,5676376136.19,Elterngeld ,681021701,6810217015676376,sechsachteinsnullzweieinssiebennulleinsfünfsechssiebensechsdreisiebensechs  Elterngeld ,,
22,2354,11,2,63201,5442037117.32,Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung ,632011102,6320111025442037,sechsdreizweinulleinseinseinsnullzweifünfviervierzweinulldreisieben  Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung ,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
23,3302,12,22,63401,5279100000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens ,634011222,6340112225279100,sechsdreiviernulleinseinszweizweizweifünfzweisiebenneuneinsnullnull  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens ,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216.0
24,2360,11,2,63616,5278586288.22,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung ,636161102,6361611025278586,sechsdreisechseinssechseinseinsnullzweifünfzweisiebenachtfünfachtsechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung ,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
25,2348,11,1,63613,4696056449.99,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende ,636131101,6361311014696056,sechsdreisechseinsdreieinseinsnulleinsviersechsneunsechsnullfünfsechs  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende ,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
26,2942,12,9,11102,4464307402.85,Einnahmen aus der streckenbezogenen LKW-Maut ,111021209,1110212094464307,einseinseinsnullzweieinszweinullneunvierviersechsvierdreinullsieben  Einnahmen aus der streckenbezogenen LKW-Maut ,,
27,4835,60,2,83624,4343424000.0,Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM) ,836246002,8362460024343424,achtdreisechszweiviersechsnullnullzweivierdreivierdreivierzweivier  Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM) ,,
28,2347,11,1,63211,4161595330.03,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung ,632111101,6321111014161595,sechsdreizweieinseinseinseinsnulleinsviereinssechseinsfünfneunfünf  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung ,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
30,2350,11,1,68511,3419737041.98,Leistungen zur Eingliederung in Arbeit ,685111101,6851111013419737,sechsachtfünfeinseinseinseinsnulleinsdreiviereinsneunsiebendreisieben  Leistungen zur Eingliederung in Arbeit ,Leistungen zur Eingliederung in Arbeit,685111101.0
31,4753,32,5,57503,3288824382.8,Zinsen für Bundesobligationen ,575033205,5750332053288824,fünfsiebenfünfnulldreidreizweinullfünfdreizweiachtachtachtzweivier  Zinsen für Bundesobligationen ,Zinsen für Bundesobligationen,575033205.0
33,2358,11,2,63612,3014052920.04,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV ,636121102,6361211023014053,sechsdreisechseinszweieinseinsnullzweidreinulleinsviernullfünfdrei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV ,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102.0
34,3653,14,68,43353,2917919272.2,Versorgungsbezüge ,433531468,4335314682917919,vierdreidreifünfdreieinsviersechsachtzweineuneinssiebenneuneinsneun  Versorgungsbezüge ,Versorgungsbezüge,432570431.0
36,3316,12,22,89111,2750000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes ,891111222,8911112222750000,achtneuneinseinseinseinszweizweizweizweisiebenfünfnullnullnullnull  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes ,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202.0
37,3480,14,4,42801,2658673012.45,Entgelte der Arbeitnehmerinnen und Arbeitnehmer ,428011404,4280114042658673,vierzweiachtnulleinseinsviernullvierzweisechsfünfachtsechssiebendrei  Entgelte der Arbeitnehmerinnen und Arbeitnehmer ,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011715.0
38,3566,14,12,51802,2602082003.51,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement ,518021412,5180214122602082,fünfeinsachtnullzweieinsviereinszweizweisechsnullzweinullachtzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement ,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021017.0
39,4800,60,2,12104,2500000000.0,Anteil des Bundes am Reingewinn der Deutschen Bundesbank ,121046002,1210460022500000,einszweieinsnullviersechsnullnullzweizweifünfnullnullnullnullnull  Anteil des Bundes am Reingewinn der Deutschen Bundesbank ,,
41,4642,30,3,68505,2214996350.0,Hochschulpakt 2020 ,685053003,6850530032214996,sechsachtfünfnullfünfdreinullnulldreizweizweieinsvierneunneunsechs  Hochschulpakt 2020 ,,
42,2029,10,1,63601,2174527991.97,Zuschüsse zur Alterssicherung der Landwirte ,636011001,6360110012174528,sechsdreisechsnulleinseinsnullnulleinszweieinssiebenvierfünfzweiacht  Zuschüsse zur Alterssicherung der Landwirte ,Zuschüsse zur Alterssicherung der Landwirte,636011001.0
45,2976,12,9,74132,1719932822.96,Erhaltung (Bundesautobahnen) ,741321209,7413212091719933,siebenviereinsdreizweieinszweinullneuneinssiebeneinsneunneundreidrei  Erhaltung (Bundesautobahnen) ,,
49,3552,14,9,55311,1374819216.77,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät ",553111409,5531114091374819,"fünffünfdreieinseinseinsviernullneuneinsdreisiebenvierachteinsneun  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät ","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406.0
50,2032,10,1,63604,1357027000.0,Zuschüsse zur Krankenversicherung der Landwirte ,636041001,6360410011357027,sechsdreisechsnullviereinsnullnulleinseinsdreifünfsiebennullzweisieben  Zuschüsse zur Krankenversicherung der Landwirte ,Zuschüsse zur Krankenversicherung der Landwirte,636041001.0
51,3239,12,18,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden ,882031218,8820312181335500,achtachtzweinulldreieinszweieinsachteinsdreidreifünffünfnullnull  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden ,,
52,1579,8,13,42201,1300305355.97,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten ,422010813,4220108131300305,vierzweizweinulleinsnullachteinsdreieinsdreinullnulldreinullfünf  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten ,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011113.0
53,4529,23,1,89611,1284749999.99,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse ,896112301,8961123011284750,achtneunsechseinseinszweidreinulleinseinszweiachtviersiebenfünfnull  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse ,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,896112301.0
54,4526,23,1,89603,1245350550.91,Bilaterale Technische Zusammenarbeit ,896032301,8960323011245351,achtneunsechsnulldreizweidreinulleinseinszweivierfünfdreifünfeins  Bilaterale Technische Zusammenarbeit ,Bilaterale Technische Zusammenarbeit,896032301.0
57,1716,9,3,68311,1168677285.21,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen ",683110903,6831109031168677,"sechsachtdreieinseinsnullneunnulldreieinseinssechsachtsechssiebensieben  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen ",,
58,2366,11,2,63685,1139320337.46,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen ,636851102,6368511021139320,sechsdreisechsachtfünfeinseinsnullzweieinseinsdreineundreizweinull  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen ,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",636851102.0
61,3479,14,4,42201,1018418818.21,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten ",422011404,4220114041018419,"vierzweizweinulleinseinsviernullviereinsnulleinsachtviereinsneun  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten ","Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",422010717.0
64,4801,60,2,13301,971716898.46,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes ,133016002,133016002971717,einsdreidreinulleinssechsnullnullzweineunsiebeneinssiebeneinssieben  Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes ,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,133016002.0
65,3310,12,22,89101,934060054.11,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes ,891011222,891011222934060,achtneuneinsnulleinseinszweizweizweineundreiviernullsechsnull  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes ,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,891511210.0
67,1503,8,3,12101,873532114.04,Einnahmen aus Beteiligungen - Treuhand-Nachfolgeeinrichtungen - ,121010803,121010803873532,einszweieinsnulleinsnullachtnulldreiachtsiebendreifünfdreizwei  Einnahmen aus Beteiligungen - Treuhand-Nachfolgeeinrichtungen - ,Einnahmen aus Beteiligungen - Treuhand-Nachfolgeeinrichtungen -,121010803.0
72,3644,14,67,43257,760675448.07,Versorgungsbezüge ,432571467,432571467760675,vierdreizweifünfsiebeneinsviersechssiebensiebensechsnullsechssiebenfünf  Versorgungsbezüge ,Versorgungsbezüge,432570451.0
