,index,Epl.,Kap.,Tit.,Ist 2019,Zweckbestimmung,2019 id,id_nlp_help,id_nlp,2019 Zweck,id
3,2580,11,2,63681,36305233222.65,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110236305233,sechsdreisechsachteinseinseinsnullzweidreisechsdreinullfünfzweidreidrei  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
6,2582,11,2,63683,26086539604.14,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110226086540,sechsdreisechsachtdreieinseinsnullzweizweisechsnullachtsechsfünfviernull  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
7,2565,11,1,68112,20024708579.48,Arbeitslosengeld II,681121101,68112110120024709,sechsachteinseinszweieinseinsnulleinszweinullnullzweiviersiebennullneun  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
10,2583,11,2,63684,15391772634.55,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110215391773,sechsdreisechsachtviereinseinsnullzweieinsfünfdreineuneinssiebensiebendrei  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
11,3838,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
15,4906,60,2,91901,13047588329.03,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,919016002,91901600213047588,neuneinsneunnulleinssechsnullnullzweieinsdreinullviersiebenfünfachtacht  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
17,2581,11,2,63682,9936608094.36,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,6368211029936608,sechsdreisechsachtzweieinseinsnullzweineunneundreisechssechsnullacht  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
21,2873,12,1,11122,7316727642.37,Einnahmen aus der streckenbezogenen Maut,111221201,1112212017316728,einseinseinszweizweieinszweinulleinssiebendreieinssechssiebenzweiacht  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
22,4341,17,1,68102,6982356070.15,Elterngeld,681021701,6810217016982356,sechsachteinsnullzweieinssiebennulleinssechsneunachtzweidreifünfsechs  Elterngeld,,
23,2570,11,2,63201,6800515779.02,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102,6320111026800516,sechsdreizweinulleinseinseinsnullzweisechsachtnullnullfünfeinssechs  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
25,2563,11,1,63211,6457534859.85,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101,6321111016457535,sechsdreizweieinseinseinseinsnulleinssechsvierfünfsiebenfünfdreifünf  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
26,2564,11,1,63613,5767823907.61,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101,6361311015767824,sechsdreisechseinsdreieinseinsnulleinsfünfsiebensechssiebenachtzweivier  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
27,2578,11,2,63616,5256480408.8,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102,6361611025256480,sechsdreisechseinssechseinseinsnullzweifünfzweifünfsechsvierachtnull  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
28,3261,12,16,63401,5162140000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216,6340112165162140,sechsdreiviernulleinseinszweieinssechsfünfeinssechszweieinsviernull  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216.0
29,2983,12,2,89111,4150000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202,8911112024150000,achtneuneinseinseinseinszweinullzweiviereinsfünfnullnullnullnull  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202.0
30,2566,11,1,68511,3896307262.93,Leistungen zur Eingliederung in Arbeit,685111101,6851111013896307,sechsachtfünfeinseinseinseinsnulleinsdreiachtneunsechsdreinullsieben  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,685111101.0
31,2576,11,2,63612,3412251690.9,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102,6361211023412252,sechsdreisechseinszweieinseinsnullzweidreiviereinszweizweifünfzwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102.0
32,3603,14,3,43353,3321883080.48,Versorgungsbezüge,433531403,4335314033321883,vierdreidreifünfdreieinsviernulldreidreidreizweieinsachtachtdrei  Versorgungsbezüge,Versorgungsbezüge,433531403.0
34,2904,12,1,74132,2845545682.79,Erhaltung (Bundesautobahnen),741321201,7413212012845546,siebenviereinsdreizweieinszweinulleinszweiachtvierfünffünfviersechs  Erhaltung (Bundesautobahnen),,
36,3718,14,8,51802,2591668979.19,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021408,5180214082591669,fünfeinsachtnullzweieinsviernullachtzweifünfneuneinssechssechsneun  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518520916.0
37,4878,60,2,12104,2433469846.36,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,121046002,1210460022433470,einszweieinsnullviersechsnullnullzweizweivierdreidreiviersiebennull  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
38,3814,14,13,42801,2398861217.82,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011413,4280114132398861,vierzweiachtnulleinseinsviereinsdreizweidreineunachtachtsechseins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428010614.0
39,2235,10,1,63601,2359227665.51,Zuschüsse zur Alterssicherung der Landwirte,636011001,6360110012359228,sechsdreisechsnulleinseinsnullnulleinszweidreifünfneunzweizweiacht  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,636011001.0
42,4711,30,3,68505,2207143775.0,Hochschulpakt 2020,685053003,6850530032207144,sechsachtfünfnullfünfdreinullnulldreizweizweinullsiebeneinsviervier  Hochschulpakt 2020,,
43,3678,14,6,55311,2148429465.45,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406,5531114062148429,"fünffünfdreieinseinseinsviernullsechszweieinsvierachtvierzweineun  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406.0
