,index,Epl.,Kap.,Tit.,Ist 2013,Zweckbestimmung,2013 id,id_nlp_help,id_nlp,2013 Zweck,id
3,2866,11,13,63681,30493772636.53,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811113,63681111330493773,sechsdreisechsachteinseinseinseinsdreidreinullvierneundreisiebensiebendrei  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
6,5069,32,1,32511,22071877287.68,Einnahmen aus Krediten vom Kreditmarkt,325113201,32511320122071877,dreizweifünfeinseinsdreizweinulleinszweizweinullsiebeneinsachtsiebensieben  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
7,2868,11,13,63683,20989592027.66,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831113,63683111320989592,sechsdreisechsachtdreieinseinseinsdreizweinullneunachtneunfünfneunzwei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
8,2847,11,12,68112,19484295028.94,Arbeitslosengeld II,681121112,68112111219484295,sechsachteinseinszweieinseinseinszweieinsneunvierachtvierzweineunfünf  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
11,2869,11,13,63684,11584980630.78,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841113,63684111311584981,sechsdreisechsachtviereinseinseinsdreieinseinsfünfachtvierneunachteins  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
13,4079,15,2,63606,11500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061502,63606150211500000,sechsdreisechsnullsechseinsfünfnullzweieinseinsfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
16,5159,60,2,83624,8686848000.0,Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),836246002,8362460028686848,achtdreisechszweiviersechsnullnullzweiachtsechsachtsechsachtvieracht  Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),,
19,2867,11,13,63682,8372295000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821113,6368211138372295,sechsdreisechsachtzweieinseinseinsdreiachtdreisiebenzweizweineunfünf  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
20,5144,60,2,63402,8000000000.0,"Zuweisung an das Sondervermögen ""Aufbauhilfe""",634026002,6340260028000000,"sechsdreiviernullzweisechsnullnullzweiachtnullnullnullnullnullnull  Zuweisung an das Sondervermögen ""Aufbauhilfe""",,
24,2864,11,13,63626,5430756762.72,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636261113,6362611135430757,sechsdreisechszweisechseinseinseinsdreifünfvierdreinullsiebenfünfsieben  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
