,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,2023 id,id_nlp_help,id_nlp,2023 Zweck,id
2,2606,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110242678678,sechsdreisechsachteinseinseinsnullzweivierzweisechssiebenachtsechssiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
3,5199,60,2,35901,37542662245.03,Entnahmen aus Rücklage,359016002,35901600237542662,dreifünfneunnulleinssechsnullnullzweidreisiebenfünfvierzweisechssechszwei  Entnahmen aus Rücklage,Entnahmen aus Rücklage,359016002.0
7,2608,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110230036973,sechsdreisechsachtdreieinseinsnullzweidreinullnulldreisechsneunsiebendrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
8,5139,32,1,32511,27176573003.84,Einnahmen aus Krediten vom Kreditmarkt,325113201,32511320127176573,dreizweifünfeinseinsdreizweinulleinszweisiebeneinssiebensechsfünfsiebendrei  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
9,2589,11,1,68112,25807575051.79,Bürgergeld,681121101,68112110125807575,sechsachteinseinszweieinseinsnulleinszweifünfachtnullsiebenfünfsiebenfünf  Bürgergeld,,
12,2609,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110217257554,sechsdreisechsachtviereinseinsnullzweieinssiebenzweifünfsiebenfünffünfvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
14,5151,32,5,57509,14862929002.62,"Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen",575093205,57509320514862929,"fünfsiebenfünfnullneundreizweinullfünfeinsvierachtsechszweineunzweineun  Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen","Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen",575093205.0
16,3872,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
18,2587,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101,63211110111576314,sechsdreizweieinseinseinseinsnulleinseinseinsfünfsiebensechsdreieinsvier  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
19,2607,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,63682110211542778,sechsdreisechsachtzweieinseinsnullzweieinseinsfünfvierzweisiebensiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
