,index,Epl.,Kap.,Tit.,Ist 2021,Zweckbestimmung,2021 id,id_nlp_help,id_nlp,2021 Zweck,id
0,4992,32,1,32511,215378833850.97,Einnahmen aus Krediten vom Kreditmarkt,325113201,325113201215378834,dreizweifünfeinseinsdreizweinulleinszweieinsfünfdreisiebenachtachtdreivier  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
3,5053,60,2,61401,62479321000.0,Zuweisung an den Energie- und Klimafonds,614016002,61401600262479321,sechseinsviernulleinssechsnullnullzweisechszweiviersiebenneundreizweieins  Zuweisung an den Energie- und Klimafonds,,
4,5061,60,2,68302,48586026577.82,Corona-Unternehmenshilfen,683026002,68302600248586027,sechsachtdreinullzweisechsnullnullzweivierachtfünfachtsechsnullzweisieben  Corona-Unternehmenshilfen,Corona-Unternehmenshilfen,683026002.0
5,2676,11,2,63681,40414324814.0,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110240414325,sechsdreisechsachteinseinseinsnullzweiviernullviereinsvierdreizweifünf  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
9,2678,11,2,63683,27472726252.59,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110227472726,sechsdreisechsachtdreieinseinsnullzweizweisiebenviersiebenzweisiebenzweisechs  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
10,2658,11,1,68112,21748136565.51,Arbeitslosengeld II,681121101,68112110121748137,sechsachteinseinszweieinseinsnulleinszweieinssiebenvierachteinsdreisieben  Arbeitslosengeld II,,
12,3938,15,1,63603,17958593306.53,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,636031501,63603150117958593,sechsdreisechsnulldreieinsfünfnulleinseinssiebenneunfünfachtfünfneundrei  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,636031501.0
13,2660,11,1,63622,16935336195.33,Zuschuss an die Bundesagentur für Arbeit,636221101,63622110116935336,sechsdreisechszweizweieinseinsnulleinseinssechsneundreifünfdreidreisechs  Zuschuss an die Bundesagentur für Arbeit,,
14,2679,11,2,63684,16918535820.41,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110216918536,sechsdreisechsachtviereinseinsnullzweieinssechsneuneinsachtfünfdreisechs  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
15,5057,60,2,63401,16000000000.0,"Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",634016002,63401600216000000,"sechsdreiviernulleinssechsnullnullzweieinssechsnullnullnullnullnullnull  Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""","Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",634016002.0
18,3940,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
21,2677,11,2,63682,10980000000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,63682110210980000,sechsdreisechsachtzweieinseinsnullzweieinsnullneunachtnullnullnullnull  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
