,Epl.,Kap.,Tit.,Ist 2016,Zweckbestimmung,ministries,2016 id,id_nlp_help,id_nlp,2016 Zweck,id
3,11,2,63681,32312275912.29,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102.0
5,11,2,63683,23106737000.0,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102.0
8,11,1,68112,20349375324.07,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei  Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101.0
10,15,1,63606,14000000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501.0
13,11,2,63684,12530057503.52,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102.0
16,11,2,63682,9049261069.12,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102.0
20,60,2,91901,6547653399.23,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,Allgemeine Finanzverwaltung,919016002,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins ,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
22,11,2,63201,6182742692.85,Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102.0
23,17,1,68102,6096816247.3,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei  Elterngeld","Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701.0
24,11,1,63211,5384440787.14,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101.0
