,index,Epl.,Kap.,Tit.,Ist 2020,Zweckbestimmung,ministries,2020 id,id_nlp_help,id_nlp,2020 Zweck,id
0,4915,32,1,32511,130464483188.83,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,325113201,Bundesschuld nulleinsdreizweifünfeinseins ,Bundesschuld nulleinsdreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
3,2629,11,2,63681,37826577359.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
5,4979,60,2,61401,27649193000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,614016002,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins ,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
6,2631,11,2,63683,27148737210.51,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
9,2613,11,1,68112,20658432311.14,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
11,2632,11,2,63684,16204758092.58,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
14,3897,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
15,4982,60,2,68301,14080477322.97,Corona-Soforthilfen für kleine Unternehmen und Soloselbständige,Allgemeine Finanzverwaltung,683016002,Allgemeine Finanzverwaltung nullzweisechsachtdreinulleins ,Allgemeine Finanzverwaltung nullzweisechsachtdreinulleins  Corona-Soforthilfen für kleine Unternehmen und Soloselbständige,,
19,2630,11,2,63682,10324752180.27,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
20,2611,11,1,63211,10097038230.86,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
22,3894,15,1,63201,9410426496.0,Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,Bundesministerium für Gesundheit,632011501,Bundesministerium für Gesundheit nulleinssechsdreizweinulleins ,Bundesministerium für Gesundheit nulleinssechsdreizweinulleins  Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,,
25,2619,11,2,63201,7430670995.68,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
26,2918,12,1,11122,7378966591.93,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
27,4404,17,1,68102,7220369055.11,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei  Elterngeld",Elterngeld,681021701.0
28,2616,11,1,85622,6912686760.29,Überjähriges Darlehen an die Bundesagentur für Arbeit,Bundesministerium für Arbeit und Soziales,856221101,Bundesministerium für Arbeit und Soziales nulleinsachtfünfsechszweizwei ,Bundesministerium für Arbeit und Soziales nulleinsachtfünfsechszweizwei  Überjähriges Darlehen an die Bundesagentur für Arbeit,Rückzahlung des Darlehens durch die Bundesagentur für Arbeit,176021101.0
30,4978,60,2,61201,6134000000.0,Vorsorge für den Ausgleich von Gewerbesteuermindereinnahmen der Gemeinden,Allgemeine Finanzverwaltung,612016002,Allgemeine Finanzverwaltung nullzweisechseinszweinulleins ,Allgemeine Finanzverwaltung nullzweisechseinszweinulleins  Vorsorge für den Ausgleich von Gewerbesteuermindereinnahmen der Gemeinden,,
31,3914,15,3,68403,6129538789.77,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,Bundesministerium für Gesundheit,684031503,Bundesministerium für Gesundheit nulldreisechsachtviernulldrei ,Bundesministerium für Gesundheit nulldreisechsachtviernulldrei  Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,684031503.0
32,2612,11,1,63613,5811953101.43,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
33,3024,12,2,89111,5292500000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202.0
34,2627,11,2,63616,5223284943.16,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
