,index,Epl.,Kap.,Tit.,Ist 2021,Zweckbestimmung,ministries,2021 id,id_nlp_help,id_nlp,2021 Zweckbestimmung,id
0,4992,32,1,32511,215378833850.97,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,320132511,Bundesschuld nulleins dreizweifünfeinseins ,Bundesschuld nulleins dreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,320132511
3,5053,60,2,61401,62479321000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,600261401,Allgemeine Finanzverwaltung nullzwei sechseinsviernulleins ,Allgemeine Finanzverwaltung nullzwei sechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
4,5061,60,2,68302,48586026577.82,Corona-Unternehmenshilfen,Allgemeine Finanzverwaltung,600268302,Allgemeine Finanzverwaltung nullzwei sechsachtdreinullzwei ,Allgemeine Finanzverwaltung nullzwei sechsachtdreinullzwei  Corona-Unternehmenshilfen,Corona-Unternehmenshilfen,600268302
5,2676,11,2,63681,40414324814.0,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,110263681
9,2678,11,2,63683,27472726252.59,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,110263683
10,2658,11,1,68112,21748136565.51,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei,Arbeitslosengeld Zwei,110168112
12,3938,15,1,63603,17958593306.53,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,150163603,Bundesministerium für Gesundheit nulleins sechsdreisechsnulldrei ,Bundesministerium für Gesundheit nulleins sechsdreisechsnulldrei  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,150163603
13,2660,11,1,63622,16935336195.33,Zuschuss an die Bundesagentur für Arbeit,Bundesministerium für Arbeit und Soziales,110163622,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechszweizwei ,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechszweizwei  Zuschuss an die Bundesagentur für Arbeit,Rückzahlung des Darlehens durch die Bundesagentur für Arbeit,110117602
14,2679,11,2,63684,16918535820.41,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,110263684
15,5057,60,2,63401,16000000000.0,"Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",Allgemeine Finanzverwaltung,600263401,Allgemeine Finanzverwaltung nullzwei sechsdreiviernulleins ,"Allgemeine Finanzverwaltung nullzwei sechsdreiviernulleins  Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""","Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",600263401
18,3940,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150163606,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150163606
