,index,Epl.,Kap.,Tit.,Ist 2019,Zweckbestimmung,ministries,2019 id,id_nlp_help,id_nlp,2019 Zweck,id
3,2580,11,2,63681,36305233222.65,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
6,2582,11,2,63683,26086539604.14,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
7,2565,11,1,68112,20024708579.48,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
10,2583,11,2,63684,15391772634.55,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
11,3838,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
15,4906,60,2,91901,13047588329.03,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,Allgemeine Finanzverwaltung,919016002,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins ,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
17,2581,11,2,63682,9936608094.36,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
21,2873,12,1,11122,7316727642.37,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
22,4341,17,1,68102,6982356070.15,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei  Elterngeld",Elterngeld,681021701.0
23,2570,11,2,63201,6800515779.02,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
