,index,Epl.,Kap.,Tit.,Ist 2019,Zweckbestimmung,ministries,2019 id,id_nlp_help,id_nlp,2019 Zweckbestimmung,id
3,2580,11,2,63681,36305233222.65,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,110263681
6,2582,11,2,63683,26086539604.14,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,110263683
7,2565,11,1,68112,20024708579.48,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei,Arbeitslosengeld Zwei,110168112
10,2583,11,2,63684,15391772634.55,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,110263684
11,3838,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150163606,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150163606
15,4906,60,2,91901,13047588329.03,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,Allgemeine Finanzverwaltung,600291901,Allgemeine Finanzverwaltung nullzwei neuneinsneunnulleins ,Allgemeine Finanzverwaltung nullzwei neuneinsneunnulleins  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
17,2581,11,2,63682,9936608094.36,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,110263682
21,2873,12,1,11122,7316727642.37,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,120111122,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,120111122
22,4341,17,1,68102,6982356070.15,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld",Elterngeld,170168102
23,2570,11,2,63201,6800515779.02,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,110263201
