,index,Epl.,Kap.,Tit.,Ist 2012,Zweckbestimmung,ministries,2012 id,id_nlp_help,id_nlp,2012 Zweckbestimmung,id
3,3078,11,13,63681,31569892728.34,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,111363681,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,110263681
6,5252,32,1,32511,22480025916.06,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,320132511,Bundesschuld nulleins dreizweifünfeinseins ,Bundesschuld nulleins dreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,320132511
7,3080,11,13,63683,20122812740.85,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,111363683,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,110263683
8,3058,11,12,68112,18951335517.59,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,111268112,Bundesministerium für Arbeit und Soziales einszwei sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales einszwei sechsachteinseinszwei  Arbeitslosengeld Zwei,Arbeitslosengeld Zwei,110168112
11,4267,15,2,63606,14000000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamt gesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150263606,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamt gesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150163606
12,3081,11,13,63684,11627512966.78,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,111363684,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,110263684
16,5339,60,2,83624,8686848000.0,Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),Allgemeine Finanzverwaltung,600283624,Allgemeine Finanzverwaltung nullzwei achtdreisechszweivier ,Allgemeine Finanzverwaltung nullzwei achtdreisechszweivier  Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),,
19,3079,11,13,63682,8323486863.09,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,111363682,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,110263682
20,3061,11,12,63631,7238000000.0,Beteiligung des Bundes an den Kosten der Arbeitsförderung,Bundesministerium für Arbeit und Soziales,111263631,Bundesministerium für Arbeit und Soziales einszwei sechsdreisechsdreieins ,Bundesministerium für Arbeit und Soziales einszwei sechsdreisechsdreieins  Beteiligung des Bundes an den Kosten der Arbeitsförderung,Kosten der Durchführung des Arbeitssicherstellungsgesetzes,111063601
24,3076,11,13,63626,5546282741.76,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,111363626,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechszweisechs ,Bundesministerium für Arbeit und Soziales einsdrei sechsdreisechszweisechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,110263616
25,5259,32,5,57503,5273368643.89,Zinsen für Bundesobligationen,Bundesschuld,320557503,Bundesschuld nullfünf fünfsiebenfünfnulldrei ,Bundesschuld nullfünf fünfsiebenfünfnulldrei  Zinsen für Bundesobligationen,Zinsen für Bundesobligationen,320557503
26,3737,12,22,63401,5104600000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,122263401,Bundesministerium für Digitales und Verkehr zweizwei sechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr zweizwei sechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,121663401
27,3056,11,12,63211,4838413882.83,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,111263211,Bundesministerium für Arbeit und Soziales einszwei sechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales einszwei sechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,110163211
