,index,Epl.,Kap.,Tit.,Ist 2014,Zweckbestimmung,ministries,2014 id,id_nlp_help,id_nlp,2014 Zweckbestimmung,id
3,2362,11,2,63681,31138301647.62,Zuschuss des Bundes an die allgemeine Rentenversicherung ,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung ,Zuschuss des Bundes an die allgemeine Rentenversicherung,110263681
6,2364,11,2,63683,21522277428.39,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung ,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung ,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,110263683
7,2349,11,1,68112,19725465106.98,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei,Arbeitslosengeld Zwei,110168112
11,2365,11,2,63684,11857613234.99,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung ,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung ,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,110263684
12,3723,15,2,63606,10500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds) ,Bundesministerium für Gesundheit,150263606,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds) ,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150163606
16,2363,11,2,63682,8693036000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet ,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet ,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,110263682
21,4291,17,1,68102,5676376136.19,Elterngeld ,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld ",Elterngeld,170168102
22,2354,11,2,63201,5442037117.32,Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung ,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung ,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,110263201
23,3302,12,22,63401,5279100000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens ,Bundesministerium für Digitales und Verkehr,122263401,Bundesministerium für Digitales und Verkehr zweizwei sechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr zweizwei sechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens ,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,121663401
24,2360,11,2,63616,5278586288.22,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung ,Bundesministerium für Arbeit und Soziales,110263616,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung ,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,110263616
