,index,Epl.,Kap.,Tit.,Ist 2015,Zweckbestimmung,ministries,2015 id,id_nlp_help,id_nlp,2015 Zweckbestimmung,id
3,2371,11,2,63681,31472488699.33,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,110263681
5,2373,11,2,63683,22202796398.3,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,110263683
8,2359,11,1,68112,20197840205.39,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei,Arbeitslosengeld Zwei,110168112
11,2374,11,2,63684,12149495563.06,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,110263684
12,4865,60,2,91901,12145318120.87,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,Allgemeine Finanzverwaltung,600291901,Allgemeine Finanzverwaltung nullzwei neuneinsneunnulleins ,Allgemeine Finanzverwaltung nullzwei neuneinsneunnulleins  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
13,3754,15,2,63606,11500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150263606,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150163606
18,2372,11,2,63682,8734335712.35,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,110263682
22,2363,11,2,63201,5887236860.77,Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,110263201
23,4331,17,1,68102,5821898256.36,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld",Elterngeld,170168102
24,2369,11,2,63616,5265531726.45,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263616,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,110263616
