,id,Epl.,Kap.,Tit.,Zweckbestimmung,Ist 2023,2015 Zweckbestimmung,Ist 2015
0,010123201,1,1,23201,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,"Beteiligung der Länder"" an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen",1118912.46
1,010152901,1,1,52901,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,758140.63
2,010168101,1,1,68101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347399.23
3,010168401,1,1,68401,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe,3418912.46
4,010142101,1,1,42101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten,225194.28
5,010142102,1,1,42102,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0
6,011123257,1,11,23257,Beteiligung an den Versorgungslasten des Bundes,107670.44,Beteiligung an den Versorgungslasten des Bundes,182037.45
7,011154201,1,11,54201,Öffentlichkeitsarbeit,318412.31,Öffentlichkeitsarbeit,175224.94
8,011143157,1,11,43157,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,826115.29,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,1038420.98
9,011143257,1,11,43257,Versorgungsbezüge,3364817.39,Versorgungsbezüge,3028058.89
10,011143457,1,11,43457,Zuführung an die Versorgungsrücklage,186772.13,Zuführung an die Versorgungsrücklage,175845.25
11,011144657,1,11,44657,Beihilfen aufgrund der Beihilfevorschriften,927317.55,Beihilfen aufgrund der Beihilfevorschriften,836688.01
12,011142401,1,11,42401,Zuführung an die Versorgungsrücklage,144448.26,Zuführung an die Versorgungsrücklage,92870.93
13,011144101,1,11,44101,Beihilfen aufgrund der Beihilfevorschriften,350288.67,Beihilfen aufgrund der Beihilfevorschriften,212412.66
14,011144301,1,11,44301,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,73873.2,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,13908.95
15,011145202,1,11,45202,Unfallversicherung Bund und Bahn,13098.52,Unfallkasse des Bundes,5165.31
16,011152602,1,11,52602,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",31283.03,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",41369.67
17,011154501,1,11,54501,"Konferenzen, Tagungen, Messen und Ausstellungen",2402010.01,"Konferenzen, Tagungen, Messen und Ausstellungen",890656.18
18,011163403,1,11,63403,Zuweisungen an den Versorgungsfonds,855563.01,Zuweisungen an den Versorgungsfonds,370371.87
19,011211999,1,12,11999,Vermischte Einnahmen,4250.0,Vermischte Einnahmen,1591.73
20,011212401,1,12,12401,"Einnahmen aus Vermietung, Verpachtung und Nutzung",2400.0,"Einnahmen aus Vermietung, Verpachtung und Nutzung",13450.0
21,011213201,1,12,13201,Erlöse aus der Veräußerung von beweglichen Sachen,6813.36,Erlöse aus der Veräußerung von beweglichen Sachen,10289.92
22,011242201,1,12,42201,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,6859904.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,4334723.25
23,011242709,1,12,42709,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",1106216.05,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",977386.58
24,011242801,1,12,42801,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,10552513.6,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,6902812.03
25,011245301,1,12,45301,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",28377.68,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",28199.3
26,011251101,1,12,51101,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",1195006.4,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",834468.48
27,011251401,1,12,51401,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",179118.66,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",96460.82
28,011251701,1,12,51701,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2952352.9,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2067448.38
29,011251801,1,12,51801,Mieten und Pachten,299733.95,Mieten und Pachten,277188.97
30,011251901,1,12,51901,Unterhaltung der Grundstücke und baulichen Anlagen,1417980.82,Unterhaltung der Grundstücke und baulichen Anlagen,1138555.99
31,011252501,1,12,52501,Aus- und Fortbildung,119293.12,Aus- und Fortbildung,14517.41
32,011252701,1,12,52701,Dienstreisen,257615.55,Dienstreisen,246691.96
33,011253201,1,12,53201,Aufträge und Dienstleistungen im Bereich Informationstechnik,741562.58,Aufträge und Dienstleistungen im Bereich Informationstechnik,112541.15
34,011253204,1,12,53204,Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland,1758449.35,Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland,1019340.03
