,id,Zweckbestimmung,Ist 2023,2019 Zweck,Ist 2019
0,232010101,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1096875.0
1,529010101,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,900892.74
2,681010101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347996.2
3,684010101,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe,3396875.0
4,421010101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten,249077.04
5,421020101,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0
6,232570111,Beteiligung an den Versorgungslasten des Bundes,107670.44,Beteiligung an den Versorgungslasten des Bundes,38814.58
7,542010111,Öffentlichkeitsarbeit,318412.31,Öffentlichkeitsarbeit,314345.05
8,431570111,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,826115.29,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,1103868.63
9,432570111,Versorgungsbezüge,3364817.39,Versorgungsbezüge,3353746.04
10,434570111,Zuführung an die Versorgungsrücklage,186772.13,Zuführung an die Versorgungsrücklage,195178.79
11,446570111,Beihilfen aufgrund der Beihilfevorschriften,927317.55,Beihilfen aufgrund der Beihilfevorschriften,1052467.57
12,424010111,Zuführung an die Versorgungsrücklage,144448.26,Zuführung an die Versorgungsrücklage,178760.71
13,441010111,Beihilfen aufgrund der Beihilfevorschriften,350288.67,Beihilfen aufgrund der Beihilfevorschriften,232366.7
14,443010111,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,73873.2,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,40914.92
15,452020111,Unfallversicherung Bund und Bahn,13098.52,Unfallversicherung Bund und Bahn,22499.41
16,526010111,Gerichts- und ähnliche Kosten,26957.17,Gerichts- und ähnliche Kosten,15594.21
17,526020111,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",31283.03,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",30688.45
18,545010111,"Konferenzen, Tagungen, Messen und Ausstellungen",2402010.01,"Konferenzen, Tagungen, Messen und Ausstellungen",1609620.93
19,634030111,Zuweisungen an den Versorgungsfonds,855563.01,Zuweisungen an den Versorgungsfonds,527451.05
20,119990112,Vermischte Einnahmen,4250.0,Vermischte Einnahmen,13921.21
21,124010112,"Einnahmen aus Vermietung, Verpachtung und Nutzung",2400.0,"Einnahmen aus Vermietung, Verpachtung und Nutzung",15650.0
22,132010112,Erlöse aus der Veräußerung von beweglichen Sachen,6813.36,Erlöse aus der Veräußerung von beweglichen Sachen,13385.05
23,422010112,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,6859904.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,5868668.13
24,427090112,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",1106216.05,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",909267.52
25,428010112,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,10552513.6,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,8307105.99
26,453010112,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",28377.68,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",21432.47
27,511010112,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",1195006.4,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",1086938.11
28,514010112,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",179118.66,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",166107.24
29,517010112,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2952352.9,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2264644.22
30,518010112,Mieten und Pachten,299733.95,Mieten und Pachten,246831.78
31,519010112,Unterhaltung der Grundstücke und baulichen Anlagen,1417980.82,Unterhaltung der Grundstücke und baulichen Anlagen,1313660.3
32,525010112,Aus- und Fortbildung,119293.12,Aus- und Fortbildung,81273.71
33,527010112,Dienstreisen,257615.55,Dienstreisen,258328.19
34,532010112,Aufträge und Dienstleistungen im Bereich Informationstechnik,741562.58,Aufträge und Dienstleistungen im Bereich Informationstechnik,191432.09
