,id,Zweckbestimmung,Ist 2023,2018 Zweck,Ist 2018
0,232010101,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1115186.71
1,529010101,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,858168.28
2,681010101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347990.98
3,684010101,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe,3415186.71
4,421010101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten,242267.6
5,421020101,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0
6,232570111,Beteiligung an den Versorgungslasten des Bundes,107670.44,Beteiligung an den Versorgungslasten des Bundes,91479.12
7,542010111,Öffentlichkeitsarbeit,318412.31,Öffentlichkeitsarbeit,279128.15
8,431570111,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,826115.29,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,1076123.13
9,432570111,Versorgungsbezüge,3364817.39,Versorgungsbezüge,3359444.22
10,434570111,Zuführung an die Versorgungsrücklage,186772.13,Zuführung an die Versorgungsrücklage,183486.33
11,446570111,Beihilfen aufgrund der Beihilfevorschriften,927317.55,Beihilfen aufgrund der Beihilfevorschriften,783498.94
12,424010111,Zuführung an die Versorgungsrücklage,144448.26,Zuführung an die Versorgungsrücklage,108343.48
13,441010111,Beihilfen aufgrund der Beihilfevorschriften,350288.67,Beihilfen aufgrund der Beihilfevorschriften,280239.76
14,443010111,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,73873.2,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,40528.0
15,452020111,Unfallversicherung Bund und Bahn,13098.52,Unfallversicherung Bund und Bahn,4152.45
16,526010111,Gerichts- und ähnliche Kosten,26957.17,Gerichts- und ähnliche Kosten,12765.43
17,526020111,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",31283.03,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",7482.53
18,545010111,"Konferenzen, Tagungen, Messen und Ausstellungen",2402010.01,"Konferenzen, Tagungen, Messen und Ausstellungen",1133056.65
19,634030111,Zuweisungen an den Versorgungsfonds,855563.01,Zuweisungen an den Versorgungsfonds,582565.44
20,119990112,Vermischte Einnahmen,4250.0,Vermischte Einnahmen,4625.33
