,id,Zweckbestimmung,Ist 2023,2017 Zweck,Ist 2017
0,232010101,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1107331.98
1,529010101,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,732489.67
2,681010101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1350390.99
3,684010101,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe,3407331.98
4,421010101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten,246499.43
5,421020101,Aufwandsgeld,78000.0,Aufwandsgeld,67435.78
6,232570111,Beteiligung an den Versorgungslasten des Bundes,107670.44,Beteiligung an den Versorgungslasten des Bundes,190718.5
7,542010111,Öffentlichkeitsarbeit,318412.31,Öffentlichkeitsarbeit,72982.11
8,431570111,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,826115.29,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,1044086.05
9,432570111,Versorgungsbezüge,3364817.39,Versorgungsbezüge,3341474.24
10,434570111,Zuführung an die Versorgungsrücklage,186772.13,Zuführung an die Versorgungsrücklage,192890.81
11,446570111,Beihilfen aufgrund der Beihilfevorschriften,927317.55,Beihilfen aufgrund der Beihilfevorschriften,1050565.77
12,424010111,Zuführung an die Versorgungsrücklage,144448.26,Zuführung an die Versorgungsrücklage,109064.67
13,441010111,Beihilfen aufgrund der Beihilfevorschriften,350288.67,Beihilfen aufgrund der Beihilfevorschriften,247149.24
14,443010111,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,73873.2,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,22123.57
15,452020111,Unfallversicherung Bund und Bahn,13098.52,Unfallversicherung Bund und Bahn,4503.59
16,526010111,Gerichts- und ähnliche Kosten,26957.17,Gerichts- und ähnliche Kosten,20060.91
17,526020111,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",31283.03,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",19917.62
18,545010111,"Konferenzen, Tagungen, Messen und Ausstellungen",2402010.01,"Konferenzen, Tagungen, Messen und Ausstellungen",1700440.63
19,634030111,Zuweisungen an den Versorgungsfonds,855563.01,Zuweisungen an den Versorgungsfonds,319043.56
20,124010112,"Einnahmen aus Vermietung, Verpachtung und Nutzung",2400.0,"Einnahmen aus Vermietung, Verpachtung und Nutzung",30439.7
21,422010112,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,6859904.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,4950129.92
22,427090112,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",1106216.05,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",777395.35
23,428010112,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,10552513.6,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,6727771.81
24,453010112,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",28377.68,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",21195.32
25,511010112,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",1195006.4,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",961393.43
26,514010112,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",179118.66,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",102747.89
27,517010112,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2952352.9,"Bewirtschaftung der Grundstücke, Gebäude und Räume",2122564.61
28,518010112,Mieten und Pachten,299733.95,Mieten und Pachten,270425.57
29,519010112,Unterhaltung der Grundstücke und baulichen Anlagen,1417980.82,Unterhaltung der Grundstücke und baulichen Anlagen,1019468.67
30,525010112,Aus- und Fortbildung,119293.12,Aus- und Fortbildung,53002.28
31,527010112,Dienstreisen,257615.55,Dienstreisen,240244.18
32,532010112,Aufträge und Dienstleistungen im Bereich Informationstechnik,741562.58,Aufträge und Dienstleistungen im Bereich Informationstechnik,88098.4
33,532040112,Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland,1758449.35,Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland,1047592.12
34,532050112,Kosten für Orden und Ehrenzeichen,205950.22,Kosten für Orden und Ehrenzeichen,31771.65
35,539990112,Vermischte Verwaltungsausgaben,96445.28,Vermischte Verwaltungsausgaben,394763.86
36,711010112,"Kleine Neu-, Um- und Erweiterungsbauten",446028.96,"Kleine Neu-, Um- und Erweiterungsbauten",244149.13
37,812010112,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",118992.97,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",264359.54
38,812020112,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",496552.21,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",371176.96
39,282090113,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",2500.0,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",2500.0
40,529010113,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,3868.72,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,3419.66
41,981030113,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,9219.6,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,4559.91
42,422010113,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,514032.92,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,506972.63
43,427090113,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",7674.24,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",89884.07
44,428010113,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,1271379.84,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,672639.54
45,441010113,Beihilfen aufgrund der Beihilfevorschriften,18698.57,Beihilfen aufgrund der Beihilfevorschriften,15486.33
46,518010113,Mieten und Pachten,11654.8,Mieten und Pachten,324311.0
47,532010113,Aufträge und Dienstleistungen im Bereich Informationstechnik,19836.26,Aufträge und Dienstleistungen im Bereich Informationstechnik,12187.51
48,539990113,Vermischte Verwaltungsausgaben,218645.78,Vermischte Verwaltungsausgaben,256333.33
49,634030113,Zuweisungen an den Versorgungsfonds,105383.36,Zuweisungen an den Versorgungsfonds,91272.57
50,812020113,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",196183.43,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",79142.45
51,232570211,Beteiligung an den Versorgungslasten des Bundes,34318.83,Beteiligung an den Versorgungslasten des Bundes,71727.17
52,529010211,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,227017.21,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,293346.84
53,542010211,Öffentlichkeitsarbeit,2192458.46,Öffentlichkeitsarbeit,7984548.25
54,431570211,Versorgungsbezüge sonstiger Amtsträger und deren Hinterbliebenen,259433.61,Versorgungsbezüge sonstiger Amtsträger und deren Hinterbliebenen,247995.09
55,432570211,Versorgungsbezüge,29702599.71,Versorgungsbezüge,24151045.96
56,434570211,Zuführung an die Versorgungsrücklage,1360454.65,Zuführung an die Versorgungsrücklage,1033564.14
57,443570211,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,2010.0,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,1674.0
58,446570211,Beihilfen aufgrund der Beihilfevorschriften,6201107.3,Beihilfen aufgrund der Beihilfevorschriften,4896632.56
59,632570211,Erstattungen des Bundes für Versorgungslasten,287274.01,Erstattungen des Bundes für Versorgungslasten,341794.05
60,424010211,Zuführung an die Versorgungsrücklage,1962284.96,Zuführung an die Versorgungsrücklage,1365279.78
61,441010211,Beihilfen aufgrund der Beihilfevorschriften,4051899.92,Beihilfen aufgrund der Beihilfevorschriften,2885182.94
62,443010211,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,129984.95,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,158390.25
63,452020211,Unfallversicherung Bund und Bahn,321231.95,Unfallversicherung Bund und Bahn,263646.2
64,526010211,Gerichts- und ähnliche Kosten,263329.72,Gerichts- und ähnliche Kosten,175681.69
65,526020211,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",1991256.33,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",1653904.84
66,527030211,Reisen in Angelegenheiten der Personalvertretungen und der Gleichstellungsbeauftragten sowie in Vertretung der Interessen schwerbehinderter Menschen,4856.01,Reisen in Angelegenheiten der Personalvertretungen und der Gleichstellungsbeauftragten sowie in Vertretung der Interessen schwerbehinderter Menschen,6730.31
67,634030211,Zuweisungen an den Versorgungsfonds,11748328.47,Zuweisungen an den Versorgungsfonds,5707607.87
68,111010212,"Gebühren, sonstige Entgelte",414151.45,"Gebühren, sonstige Entgelte",428835.02
69,119010212,Einnahmen aus Veröffentlichungen,178975.6,Einnahmen aus Veröffentlichungen,167216.92
70,119990212,Vermischte Einnahmen,147042.97,Vermischte Einnahmen,242141.55
71,124010212,"Einnahmen aus Vermietung, Verpachtung und Nutzung",993499.74,"Einnahmen aus Vermietung, Verpachtung und Nutzung",1181344.82
72,132010212,Erlöse aus der Veräußerung von beweglichen Sachen,265244.77,Erlöse aus der Veräußerung von beweglichen Sachen,591041.06
73,411010212,Entschädigungen und Amtszulagen nach § 11 Abgeordnetengesetz,89070847.41,Entschädigungen und Amtszulagen nach § 11 Abgeordnetengesetz,70941664.86
74,411020212,Aufwandsentschädigungen nach § 12 Abs. 2 und 5 Abgeordnetengesetz,40687391.97,Aufwandsentschädigungen nach § 12 Abs. 2 und 5 Abgeordnetengesetz,34585121.45
